Scouter Name,Event,Match Level,Match Num,Robot,Team,Auto Amp,Auto Spkr,Compatible,Teleop Amp,Teleop Spkr,Harmony,Queue Time,Trap,Driver,Defense,Comments
Liv,2024nhgrs,qm,44,b1,5112,0,1,No,0,3,Parked,Not Attempted,No,Medium,Didn’t Defend,
Liv,2024nhgrs,qm,44,b2,1740,0,2,No,4,3,Parked,Not Attempted,No,Medium,Didn’t Defend,
Nate,2024nhgrs,qm,44,r1,1768,0,3,No,0,6,Parked,'5-15,No,High,Didn’t Defend,
Nate,2024nhgrs,qm,44,r2,157,0,1,No,0,4,None,Not Attempted,No,High,Didn’t Defend,
Nate,2024nhgrs,qm,44,r3,1071,0,0,No,5,0,Soloist,'5-15,No,High,Didn’t Defend,
Liv,2024nhgrs,qm,45,b1,1735,0,1,No,0,0,Parked,Not Attempted,No,Medium,Didn’t Defend,
Liv,2024nhgrs,qm,45,b2,4925,0,0,No,1,0,Parked,Not Attempted,No,Low,Didn’t Defend,
Liv,2024nhgrs,qm,45,b3,126,0,1,No,0,6,Parked,Not Attempted,No,Medium,Didn’t Defend,
River,2024nhgrs,qm,45,r1,6690,0,0,No,0,0,Parked,'0-5,No,Not Observed,Not Observed,
River,2024nhgrs,qm,45,r2,8085,0,1,Yes,3,2,Soloist,'5-15,Yes,High,Not Observed,Lots of misses
River,2024nhgrs,qm,45,r3,95,0,1,No,2,4,Soloist,'0-5,No,High,Not Observed,Lots of misses
Liv,2024nhgrs,qm,46,b1,97,0,0,No,0,0,Soloist,'0-5,No,Low,Low,No.
Liv,2024nhgrs,qm,46,b2,175,0,4,No,5,2,Soloist,'0-5,No,High,Didn’t Defend,
Liv,2024nhgrs,qm,46,b3,4905,0,1,Yes,0,6,Soloist,'0-5,No,High,Didn’t Defend,
River,2024nhgrs,qm,46,r1,190,0,2,Yes,0,6,None,'15-30,No,Not Observed,Not Observed,Failed to harmony
River,2024nhgrs,qm,46,r2,3464,0,1,No,4,2,Soloist,'0-5,No,Not Observed,Not Observed,
River,2024nhgrs,qm,46,r3,2262,0,0,No,0,1,Parked,'0-5,No,Not Observed,Not Observed,
Liv,2024nhgrs,qm,47,b1,1768,0,1,No,0,0,None,Not Attempted,No,Low,Didn’t Defend,
Liv,2024nhgrs,qm,47,b2,7153,0,0,No,1,1,Parked,Not Attempted,No,Low,Didn’t Defend,
Liv,2024nhgrs,qm,47,b3,1350,0,0,No,0,2,Soloist,'0-5,No,Low,Didn’t Defend,
River,2024nhgrs,qm,47,r1,4908,0,0,No,0,0,Parked,'0-5,No,Low,Not Observed,Got note stuck inside itself 
River,2024nhgrs,qm,47,r2,3719,0,0,No,0,0,None,Not Attempted,No,Low,Not Observed,
River,2024nhgrs,qm,47,r3,4909,0,1,No,0,9,Soloist,'0-5,No,High,Not Observed,"Cycled a bunch at the end, 5 in 45 secs"
