"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"3467","Windham Windup","","2164","1931","293.1","56.6","173.9","62.6","0.75","0.87","-0.3","-1"
"6328","Mechanical Advantage","","2053","1860","251.5","45","150.2","56.3","0.79","0.34","-0.3","-1"
"6329","The Bucks' Wrath","","2046","1855","248.8","50","139.2","59.6","0.66","0.59","-0.3","-1"
"176","Aces High","","1931","1782","205.9","38.2","126.2","41.5","0.75","0.04","-0.3","-1"
"190","Gompei and the HERD","","1906","1765","196.3","41.2","103.6","51.4","0.77","0.44","-0.3","-1"
"238","Crusaders","","1844","1725","173.1","38.9","94.1","40.1","0.65","0.19","-0.3","-1"
"7407","Wired Boars","","1829","1716","167.3","31","99","37.4","0.67","0.08","-0.3","-1"
"2877","LigerBots","","1813","1705","161.3","28.5","90.2","42.7","0.55","-0.04","-0.3","-1"
"95","Grasshoppers","","1770","1679","145.3","19.9","86.6","38.8","0.69","-0.07","-0.3","-1"
"88","TJ²","","1753","1672","138.8","38.8","76.3","23.8","0.51","0.11","-0.3","-1"
"8046","LakerBots","","1734","1663","131.7","24.1","75.9","31.6","0.51","0.11","-0.3","-1"
"1699","Robocats","","1706","1650","121.3","15.3","69.4","36.5","0.6","-0.17","-0.3","-1"
"4909","Bionics","","1704","1649","120.5","15.8","70.8","33.9","0.82","0.18","-0.3","-1"
"166","Chop Shop","","1691","1643","115.8","19.7","61.7","34.4","0.67","-0.1","-0.3","-1"
"5422","Stormgears","","1689","1642","115","15.4","71.6","28","0.55","0","-0.3","-1"
"177","Bobcat Robotics","","1677","1633","110.2","11.2","66.4","32.6","0.62","-0.1","-0.3","-1"
"1153","Timberwolves","","1674","1632","109.5","19.2","65.8","24.4","0.58","-0.02","-0.3","-1"
"1922","Oz-Ram","","1671","1629","108.1","17.7","60.5","29.8","0.53","-0.11","-0.3","-1"
"8013","Boston Lions","","1657","1619","102.8","19.2","57.1","26.6","0.5","-0.14","-0.3","-1"
"319","Big Bad Bob","","1640","1607","96.7","10.8","59.7","26.2","0.42","-0.14","-0.3","-1"
"8085","MOJO","","1640","1607","96.6","19.8","52.6","24.2","0.61","-0.18","-0.3","-1"
"1100","Inverse Polarity","","1627","1597","91.6","14.3","48.8","28.5","0.55","-0.12","-0.3","-1"
"3323","Potential Energy","","1614","1587","86.6","10.6","49.4","26.6","0.4","-0.15","-0.3","-1"
"839","Rosie Robotics","","1612","1586","85.9","9.1","52","24.8","0.48","-0.01","-0.3","-1"
"4761","The Robockets","","1606","1581","83.6","6.6","49.1","27.9","0.43","-0.07","-0.3","-1"
"1119","Pup Cups","","1604","1580","83","11.8","42.1","29.2","0.4","-0.07","-0.3","-1"
"7674","RaiderBots","","1600","1577","81.5","13.2","46.1","22.2","0.32","-0.18","-0.3","-1"
"467","Center of Mass","","1598","1576","80.8","19.8","41.4","19.6","0.36","-0.09","-0.3","-1"
"2423","The KwarQs","","1568","1554","69.7","20.4","38.7","10.6","0.59","-0.08","-0.3","-1"
"2648","Infinite Loop","","1562","1550","67.3","9.1","37.3","20.9","0.26","-0.24","-0.3","-1"
"228","GUS","","1549","1540","62.5","10.4","35.5","16.6","0.21","0.04","-0.3","-1"
"8889","Project W","","1541","1534","59.5","9.5","29.4","20.6","0.28","-0.17","-0.3","-1"
"558","Elm City Robo Squad","","1540","1533","59","13.1","31.4","14.5","0.31","-0.24","-0.3","-1"
"178","The 2nd Law Enforcers","","1529","1525","55.1","13.7","29.9","11.5","0.27","-0.18","-0.2","-1"
"3566","Gone Fishin'","","1528","1524","54.6","12.7","29.3","12.6","0.32","-0.15","-0.3","-1"
"10973","Sea Raiders","","1527","1523","54","14.9","27.6","11.6","0.2","-0.12","-0.3","-1"
"5962","perSEVERE","","1526","1522","53.9","14.1","32.9","6.9","0.22","-0.18","-0.3","-1"
"1735","Green Reapers","","1525","1521","53.5","11.1","25.2","17.3","0.21","-0.24","-0.3","-1"
"11483","Red Line Robotics","","1487","1490","39.3","7.3","17.5","14.5","0.17","-0.2","-0.3","-1"
"3597","Robo-Rangers","","1485","1488","38.4","6.2","19.3","13","0.08","-0.08","-0.3","-1"
"6201","The Highlanders","","1483","1486","37.7","8.1","14.7","14.9","0.11","-0.24","-0.3","-1"
"1991","The Dragons","","1482","1485","37.2","9.6","14.5","13.1","0.02","-0.24","-0.3","-1"
"61","BVT Robotics","","1480","1483","36.5","17","10.9","8.6","0.05","-0.24","-0.3","-1"
"11131","Brainstorm","","1478","1481","35.9","6.7","14.5","14.7","0.14","-0.18","-0.3","-1"
"1350","The Rambots","","1475","1478","34.6","10.2","17.1","7.3","0.25","-0.24","-0.3","-1"
"1071","Team MAX","","1467","1470","31.6","8.5","13.3","9.8","0.12","-0.14","-0.3","-1"
"7153","Aetos Dios (Eagles of Zeus)","","1465","1468","30.8","10.7","13.6","6.6","0.06","-0.17","-0.3","-1"
"4041","Iron Tigers","","1459","1462","28.7","8.8","13","6.9","0.1","-0.14","-0.3","-1"
"8544","Reinforcement","","1457","1459","27.9","6.5","11.1","10.3","0.22","-0.1","-0.3","-1"
"3182","Athena's Warriors","","1423","1412","15.2","4","5.5","5.7","0.11","-0.24","-0.3","-1"
